,day,edges,num_infected,num_new_infections,num_new_removed,Average deaths,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
69,69,0,0,0,0,0.1224703216216448,0.0014062967301444226,0.00712650465063517,0.008741846512040234,0.03121728413032874,0.048650444713399334,0.02738289424067273
70,70,0,0,0,0,0.10687483953551019,0.0012272176261431077,0.006219009070121457,0.007628651830479389,0.027242046791307394,0.04245525285823066,0.0238959315958269
71,71,0,0,0,0,0.093122052616738,0.0010692977397726597,0.005418739268931492,0.006646987450368431,0.023736506419220184,0.036992058259020605,0.020820973477608893
72,72,0,0,0,0,0.08101899594978834,0.0009303213021336176,0.004714466686955404,0.005783079670033997,0.02065147688867911,0.0321842070062277,0.01811487524653036
73,73,0,0,0,0,0.07038853114895664,0.0008082542764952784,0.004095883704250544,0.005024284474512172,0.01794180620495021,0.02796133216420397,0.01573803088525189
74,74,0,0,0,0,0.06106887480365937,0.0007012389435483209,0.0035535762014396394,0.004359053876300432,0.015566256306200303,0.024259166449513512,0.013654267564607619
75,75,0,0,0,0,0.05291295196583784,0.0006075864776588909,0.0030789859393717364,0.0037768897677375093,0.013487338269552366,0.021019285408504954,0.011830701091147136
76,76,0,0,0,0,0.04578762657976053,0.0005257681100823611,0.0026643657781048923,0.003268288989617049,0.01167111615016089,0.018188801711146323,0.010237563840474218
77,77,0,0,0,0,0.03957285162697009,0.0004544053702857502,0.0023027302241415506,0.0028246826691240975,0.01008699035594054,0.015720027552285007,0.008848014739855487
78,78,0,0,0,0,0.03416077371674105,0.00039225980417908937,0.001987803326864337,0.0024383723061237594,0.00870746941060454,0.013570118956718188,0.007637939065391917
79,79,0,0,0,0,0.029454819857171653,0.00033822248773136853,0.001713965538069237,0.002102464587515888,0.007507937174604994,0.011700713005649578,0.0065857442549938664
80,80,0,0,0,0,0.025368788131280805,0.000291303585426705,0.0014762007987296649,0.0018108064803263348,0.0064664210614462855,0.010077566614381214,0.0056721565944685415
81,81,0,0,0,0,0.02182595889833378,0.0002506221444066878,0.001270044820116304,0.0015579217898747792,0.005563365485812071,0.008670203463503019,0.00488002249280218
82,82,0,0,0,0,0.018758238857024063,0.00021539626595737453,0.001091535277136737,0.0013389500635990178,0.004781413688071842,0.007451573984215784,0.004194117104958976
83,83,0,0,0,0,0.01610534675527564,0.00018493375521423777,0.0009371644250771627,0.001149588467586112,0.004105200174374749,0.006397731887471299,0.0036009622663645594
