,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
120,120,9078,472,0,0,1.5567383152959657e-07,8.530113059778485e-07,1.0103645502865532e-06,4.1708804444739284e-06,5.7023761706415305e-06,6.016369914728266e-07
121,121,9078,472,0,0,1.30980677398563e-07,7.176014499254403e-07,8.503247474259744e-07,3.5093820615413005e-06,4.797506991668212e-06,5.054513081464404e-07
122,122,9078,472,0,0,1.1015352556911238e-07,6.034104324227653e-07,7.153006191619465e-07,2.9514329557790925e-06,4.034369227274662e-06,4.244601304466928e-07
123,123,9078,472,0,0,9.259624465670574e-08,5.071629396204369e-07,6.014420334802078e-07,2.4810688015520373e-06,3.3910966524046697e-06,3.562961391755185e-07
124,124,9078,472,0,0,7.780298603511488e-08,4.260803113595926e-07,5.05480654636579e-07,2.084742544813097e-06,2.849136701990146e-06,2.989549145907044e-07
125,125,9078,472,0,0,6.534480490027233e-08,3.5780683115378533e-07,4.246439596792587e-07,1.7509662742968805e-06,2.3927590480241035e-06,2.507403722691223e-07
126,126,9078,472,0,0,5.485821110558529e-08,3.003466683315078e-07,3.565816154830894e-07,1.4700047348273497e-06,2.008635127349243e-06,2.1021821079627715e-07
127,127,9078,472,0,0,4.60353809786769e-08,2.520099848632958e-07,2.9930250207513173e-07,1.2336132911222304e-06,1.6854787247690287e-06,1.7617623011896717e-07
128,128,9078,472,0,0,3.8615796964847456e-08,2.1136691736413688e-07,2.511208941545576e-07,1.0348141057325516e-06,1.4137390314248916e-06,1.4759053467479657e-07
129,129,9078,472,0,0,3.237911328241156e-08,1.7720831876494013e-07,2.106105113610138e-07,8.677051307385089e-07,1.1853387522484334e-06,1.2359677186451855e-07
130,130,9078,472,0,0,2.7139073148227248e-08,1.485122956585492e-07,1.765653220288171e-07,7.272972463893206e-07,9.93450846852897e-07,1.03465675608419e-07
131,131,9078,472,0,0,2.2738326942619454e-08,1.24415709604888e-07,1.4796613647833606e-07,6.093755154693354e-07,8.323083631954955e-07,8.658228572636164e-08
132,132,9078,472,0,0,1.9044021519666133e-08,1.0418992570083441e-07,1.2395215862627447e-07,5.103810809028127e-07,6.970425925617254e-07,7.24283047472832e-08
133,133,9078,472,0,0,1.5944048854106393e-08,8.722019163590977e-08,1.0379677944280826e-07,4.2731071371167864e-07,5.835454354164917e-07,6.056712800899393e-08
134,134,9078,472,0,0,1.3343857964743626e-08,7.298811719469713e-08,8.688699611779313e-08,3.576314407165367e-07,4.883524474852111e-07,5.063115243102664e-08
135,135,9078,472,0,0,1.1163747507155473e-08,6.105679890732715e-08,7.270592690140444e-08,2.9920804157622596e-07,4.0854353104943467e-07,4.2311022667988064e-08
136,136,9078,472,0,0,9.336568281863017e-09,5.1058199673184345e-08,6.081796720959388e-08,2.5024152004639766e-07,3.416586715430941e-07,3.534652669357499e-08
137,137,9078,472,0,0,7.805774931535037e-09,4.268244895278443e-08,5.08561968618471e-08,2.0921692588383442e-07,2.856264892171275e-07,2.9518891270725722e-08
138,138,9078,472,0,0,6.523774898165928e-09,3.5668777336212124e-08,4.2511704454334605e-08,1.748591351775984e-07,2.3870369807951094e-07,2.4644267104525674e-08
