,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases
70,70,9846,100,0,0,1.031626920321298e-05,0,5.573578013714295e-05,0,5.150097519467755e-05,0,0.00017209031472320148,0,0.00028209133583941107,0,0.0002836203544487442,0
71,71,9846,100,0,0,8.922298501261051e-06,0,4.814970440361016e-05,0,4.4532165812411205e-05,0,0.0001488467619642252,0,0.0002439399877286815,0,0.0002463287616588693,0
72,72,9846,100,0,0,7.707202398498395e-06,0,4.154675136169939e-05,0,3.845929537948143e-05,0,0.00012858392981946961,0,0.00021068976251480424,0,0.00021364334636763774,0
73,73,9846,100,0,0,6.649682144160176e-06,0,3.580813013251133e-05,0,3.3175386512785096e-05,0,0.00011094727167244663,0,0.00018175619102813112,0,0.00018504705952553766,0
74,74,9846,100,0,0,5.7306829928657585e-06,0,3.0827884601689644e-05,0,2.8584786184142333e-05,0,9.561952052161662e-05,0,0.00015661652583618362,0,0.00016007165480136473,0
75,75,9846,100,0,0,4.933210908244692e-06,0,2.6511781511520385e-05,0,2.4602230413991495e-05,0,8.231766019748994e-05,0,0.00013480467562656127,0,0.000138294805956506,0
76,76,9846,100,0,0,4.24215382019097e-06,0,2.277624180106234e-05,0,2.1151934661964708e-05,0,7.078996750477546e-05,0,0.00011590627039106301,0,0.00011933702978123958,0
77,77,9846,100,0,0,3.6441098515845817e-06,0,1.9547325764862915e-05,0,1.8166721615044627e-05,0,6.081316640548425e-05,0,9.955392308649766e-05,0,0.00010285852098153443,0
78,78,9846,100,0,0,3.127224216374836e-06,0,1.6759778998495498e-05,0,1.5587194537473565e-05,0,5.2189723327723975e-05,0,8.542273385140665e-05,0,8.85559823053017e-05,0
79,79,9846,100,0,0,2.681035909293585e-06,0,1.4356143202937382e-05,0,1.336096147299618e-05,0,4.4745302877926115e-05,0,7.32260669160706e-05,0,7.615951366566269e-05,0
80,80,9846,100,0,0,2.296334840279668e-06,0,1.2285933628088916e-05,0,1.144191328767117e-05,0,3.8326395349236176e-05,0,6.271161755943883e-05,0,6.542960768783123e-05,0
81,81,9846,100,0,0,1.9650296972967684e-06,0,1.0504883155737514e-05,0,9.789556727129623e-06,0,3.279812117865892e-05,0,5.3657776374439514e-05,0,5.6154285612429755e-05,0
82,82,9846,100,0,0,1.680026534632896e-06,0,8.974251671444453e-06,0,8.368402259370668e-06,0,2.8042212657174077e-05,0,4.587029029051005e-05,0,4.814639647107883e-05,0
83,83,9846,100,0,0,1.4351178664332208e-06,0,7.660198379352011e-06,0,7.147405415689393e-06,0,2.3955169514324883e-05,0,3.917921388939765e-05,0,4.124109357989537e-05,0
84,84,9846,100,0,0,1.2248818853060353e-06,0,6.5332140101211056e-06,0,6.099459568050743e-06,0,2.0446582282174758e-05,0,3.34361402150133e-05,0,3.529349535709704e-05,0
85,85,9846,100,0,0,1.0445913129047955e-06,0,5.567609404282758e-06,0,5.2009375395478e-06,0,1.743761541826213e-05,0,2.8511697226750796e-05,0,3.0176531986815775e-05,0
86,86,9846,100,0,0,8.901313145071498e-07,0,4.741056674168948e-06,0,4.431279090328067e-06,0,1.4859640883004202e-05,0,2.429329403803372e-05,0,2.5778975264720364e-05,0
87,87,9846,100,0,0,7.579258650647145e-07,0,4.034179016642001e-06,0,3.772621116671144e-06,0,1.2653012094448627e-05,0,2.068309989992209e-05,0,2.2003645855779474e-05,0
88,88,9846,100,0,0,6.44871933545942e-07,0,3.4301852328182834e-06,0,3.209467313164808e-06,0,1.0765967814077787e-05,0,1.7596238361199e-05,0,1.876578997087527e-05,0
89,89,9846,100,0,0,5.482808501480527e-07,0,2.9145450814576953e-06,0,2.7283940503450925e-06,0,9.153655459187757e-06,0,1.4959179007053218e-05,0,1.599161596489035e-05,0
90,90,9846,100,0,0,4.6582623262178415e-07,0,2.4747017268682807e-06,0,2.3177892901659693e-06,0,7.777263514856153e-06,0,1.2708309528131015e-05,0,1.3616980425680892e-05,0
91,91,9846,100,0,0,3.9549786980419824e-07,0,2.0998177210517575e-06,0,1.9676214809398623e-06,0,6.603253068537527e-06,0,1.0788671495993611e-05,0,1.1586212844740453e-05,0
92,92,9846,100,0,0,3.355609894985946e-07,0,1.7805511687019585e-06,0,1.6692355271657506e-06,0,5.602678963176008e-06,0,9.152844039396956e-06,0,9.851067830601456e-06,0
93,93,9846,100,0,0,2.845203716060948e-07,0,1.5088589500608687e-06,0,1.4151731057038335e-06,0,4.750591617929768e-06,0,7.759960560306573e-06,0,8.369793963535448e-06,0
94,94,9846,100,0,0,2.410888040104043e-07,0,1.277824111593567e-06,0,1.1990147888205457e-06,0,4.025511168152031e-06,0,6.574844648372123e-06,0,7.106308723145106e-06,0
95,95,9846,100,0,0,2.041594166444932e-07,0,1.0815047706490401e-06,0,1.015241629390453e-06,0,3.408966202322496e-06,0,5.567252405388171e-06,0,6.029469393920644e-06,0
96,96,9846,100,0,0,1.7278146723986712e-07,0,9.148021121563929e-07,0,8.591140581589339e-07,0,2.8850900032341224e-06,0,4.7112094466193e-06,0,5.112430421778171e-06,0
97,97,9846,100,0,0,1.4613918964778362e-07,0,7.733452793358927e-07,0,7.265661333887731e-07,0,2.440267819900018e-06,0,3.984431880268109e-06,0,4.332078320186707e-06,0
98,98,9846,100,0,0,1.235333516736628e-07,0,6.533911733677462e-07,0,6.141133664772378e-07,0,2.062829294772056e-06,0,3.367821562307634e-06,0,3.6685358800082686e-06,0
99,99,9846,100,0,0,1.0436520365734483e-07,0,5.517373772556263e-07,0,5.187725208767702e-07,0,1.742780739532814e-06,0,2.8450268704341215e-06,0,3.104728101133864e-06,0
100,100,9846,100,0,0,8.812253125629255e-08,0,4.6564660566876926e-07,0,4.379919448064534e-07,0,1.471572488226335e-06,0,2.4020611290608544e-06,0,2.626002918832062e-06,0
