,day,edges,num_infected,num_new_infections,num_new_removed,All deaths,All cases,perc_above_left
108,108,6421,10,10,7,0.054772867306518265,10,0.9197080291970803
109,109,6396,5,5,6,0.051043099737482854,5,0.9197080291970803
110,110,6391,2,2,4,0.047978654293746724,2,0.9197080291970803
111,111,6388,2,2,2,0.04551809248057954,2,0.9197080291970803
112,112,6385,2,2,1,0.04358560374337538,2,0.9197080291970803
113,113,6383,1,1,2,0.04209352114787284,1,0.9197080291970803
114,114,6382,1,1,1,0.04094764562890717,1,0.9197080291970803
115,115,6381,1,1,1,0.04005574760591495,1,0.9197080291970803
116,116,6377,3,3,1,0.03933147792506315,3,0.9197080291970803
117,117,6376,1,1,1,0.038705115778844904,1,0.9197080291970803
118,118,6374,1,1,1,0.0381158649342624,1,0.9197080291970803
119,119,6370,2,2,1,0.0375188572413894,2,0.9197080291970803
120,120,6365,1,1,2,0.03688300342681903,1,0.9197080291970803
121,121,6362,2,2,1,0.036185801269094015,2,0.9197080291970803
122,122,6360,1,1,1,0.035418296746017944,1,0.9197080291970803
123,123,6359,1,1,1,0.03457618820905374,1,0.9197080291970803
124,124,6357,1,1,1,0.03366193008830972,1,0.9197080291970803
125,125,6356,1,1,1,0.03268106168933118,1,0.9197080291970803
126,126,6356,1,1,0,0.03164162070581676,1,0.9197080291970803
127,127,6356,1,1,0,0.030553391480954647,1,0.9197080291970803
128,128,6354,1,1,1,0.029427287292301298,1,0.9197080291970803
129,129,6351,1,1,1,0.02827481528848496,1,0.9197080291970803
130,130,6351,1,1,0,0.027107608736850784,1,0.9197080291970803
131,131,6349,2,2,1,0.025937026073215054,2,0.9197080291970803
132,132,6345,1,1,2,0.02477688228512208,1,0.9197080291970803
133,133,6344,1,1,1,0.023638083356246217,1,0.9197080291970803
134,134,6340,2,2,1,0.022531457053335976,2,0.9197080291970803
135,135,6338,2,2,2,0.02146821752161797,2,0.9197080291970803
136,136,6328,2,2,1,0.02045837884413112,2,0.9197080291970803
137,137,6321,3,3,2,0.01951198806022815,3,0.9197080291970803
138,138,6317,2,2,2,0.018641019227142525,2,0.9197080291970803
139,139,6315,1,1,2,0.017853615047150592,1,0.9197080291970803
140,140,6313,2,2,1,0.017153622045962817,2,0.9197080291970803
141,141,6313,1,1,0,0.016543051751904122,1,0.9197080291970803
142,142,6310,1,1,1,0.016016568070978354,1,0.9197080291970803
143,143,6308,1,1,1,0.015566488805374087,1,0.9197080291970803
144,144,6306,2,2,1,0.015181911222645138,2,0.9197080291970803
145,145,6305,1,1,1,0.014853645775126137,1,0.9197080291970803
146,146,6303,1,1,1,0.01457037922014976,1,0.9197080291970803
147,147,6303,1,1,0,0.014322646428772793,1,0.9197080291970803
148,148,6302,2,2,1,0.014100971056255138,2,0.9197080291970803
149,149,6298,1,1,2,0.013899767912301086,1,0.9197080291970803
150,150,6295,2,2,1,0.013712592100384084,2,0.9197080291970803
151,151,6284,4,4,2,0.013538441391195716,4,0.9197080291970803
152,152,6278,4,4,4,0.013383437344669262,4,0.9197080291970803
153,153,6276,1,1,2,0.013258184720429795,1,0.9197080291970803
154,154,6275,1,1,1,0.013169164072392726,1,0.9197080291970803
155,155,6274,1,1,1,0.013120987578045243,1,0.9197080291970803
156,156,6272,2,2,1,0.01311084462982777,2,0.9197080291970803
157,157,6266,4,4,2,0.013134214650362635,4,0.9197080291970803
158,158,6253,6,6,3,0.0131908599850078,6,0.9197080291970803
159,159,6237,3,3,6,0.013289647277649544,3,0.9197080291970803
160,160,6225,6,6,2,0.013437153609788697,6,0.9197080291970803
161,161,6206,11,11,5,0.01365193400517787,11,0.9197080291970803
162,162,6189,3,3,8,0.013965658827171499,3,0.9197080291970803
163,163,6185,1,1,3,0.014392239004436685,1,0.9197080291970803
164,164,6183,1,1,1,0.014938940295115026,1,0.9197080291970803
165,165,6182,1,1,1,0.01559310545368612,1,0.9197080291970803
166,166,6168,3,3,1,0.01632613605027816,3,0.9197080291970803
167,167,6161,3,3,3,0.017106578343241967,3,0.9197080291970803
168,168,6160,1,1,1,0.017901978834680653,1,0.9197080291970803
169,169,6159,1,1,1,0.01867948413289768,1,0.9197080291970803
170,170,6156,3,3,1,0.019410240979595348,3,0.9197080291970803
171,171,6156,1,1,0,0.020073536265821777,1,0.9197080291970803
172,172,6155,2,2,1,0.02064894236853996,2,0.9197080291970803
173,173,6147,3,3,2,0.02112648181821637,3,0.9197080291970803
174,174,6145,2,2,2,0.021503170150735846,2,0.9197080291970803
175,175,6140,1,1,2,0.021779857514448275,1,0.9197080291970803
176,176,6139,1,1,1,0.021959736579290196,1,0.9197080291970803
177,177,6137,2,2,1,0.022046771121054163,2,0.9197080291970803
178,178,6136,2,2,1,0.022047216359361396,2,0.9197080291970803
179,179,6131,2,2,2,0.021968396702366794,2,0.9197080291970803
180,180,6130,1,1,1,0.021820188785036766,1,0.9197080291970803
181,181,6130,1,1,0,0.021610838014327755,1,0.9197080291970803
182,182,6129,1,1,1,0.021348199744265228,1,0.9197080291970803
183,183,6126,2,2,1,0.021038038562248323,2,0.9197080291970803
184,184,6122,2,2,2,0.02068802119090598,2,0.9197080291970803
185,185,6121,1,1,1,0.020306256648454552,1,0.9197080291970803
186,186,6117,3,3,1,0.01989968447759456,3,0.9197080291970803
187,187,6109,2,2,3,0.01948104890498301,2,0.9197080291970803
188,188,6105,2,2,2,0.019059933029693495,2,0.9197080291970803
189,189,6100,1,1,2,0.018647549608272793,1,0.9197080291970803
190,190,6099,2,2,1,0.01825018871000228,2,0.9197080291970803
191,191,6095,3,3,1,0.017874294374165607,3,0.9197080291970803
192,192,6090,3,3,3,0.017526377845638947,3,0.9197080291970803
193,193,6083,4,4,3,0.01721352877922593,4,0.9197080291970803
194,194,6069,4,4,3,0.016947135650641147,4,0.9197080291970803
195,195,6060,2,2,4,0.016739335906280982,2,0.9197080291970803
196,196,6057,2,2,2,0.0165968659558633,2,0.9197080291970803
197,197,6055,2,2,2,0.016522944340060353,2,0.9197080291970803
198,198,6050,1,1,2,0.016513977482449323,1,0.9197080291970803
199,199,6047,1,1,1,0.016558726973078124,1,0.9197080291970803
200,200,6046,1,1,1,0.01664207780092108,1,0.9197080291970803
201,201,6044,2,2,1,0.016745671008317656,2,0.9197080291970803
202,202,6040,3,3,1,0.016853759933403496,3,0.9197080291970803
203,203,6038,2,2,2,0.016956135242547715,2,0.9197080291970803
204,204,6032,1,1,2,0.017045286382788464,1,0.9197080291970803
205,205,6028,1,1,1,0.017115559725106467,1,0.9197080291970803
206,206,6026,2,2,1,0.017161959866921563,2,0.9197080291970803
207,207,6022,3,3,2,0.01718189816215381,3,0.9197080291970803
208,208,6017,6,6,3,0.01717718615631866,6,0.9197080291970803
209,209,6004,4,4,6,0.017162773584419172,4,0.9197080291970803
210,210,5987,7,7,4,0.017154429820575166,7,0.9197080291970803
211,211,5980,3,3,5,0.017182701287062133,3,0.9197080291970803
212,212,5976,2,2,3,0.01726640815612612,2,0.9197080291970803
213,213,5973,2,2,2,0.0174194764044911,2,0.9197080291970803
